Category,Title,Total Price,Quantity,Unit Price,Date,Recommendation
Excessive Lighting,Wirefy 12/2 Low Voltage Landscape Lighting Copper Wire - Outdoor Direct Burial - 12-Gauge 2-Conducto,$243.98,2,$121.99,3/21/2025,Eliminate
Excessive Lighting,SUNVIE 12W Low Voltage Landscape Lights with Connectors 1200LM Ultra Bright Well LED In Ground Water,$227.98,2,$113.99,3/13/2025,Eliminate
Excessive Lighting,SUNVIE 300W Low Voltage Landscape Transformer with 2 Independent Control Output Landscape Lighting T,$191.98,2,$95.99,3/13/2025,Eliminate
Excessive Lighting,SUNVIE Low Voltage Landscape Lighting with Connectors 5W Anti-Glare LED Pathway Lights Wired Waterpr,$129.99,1,$129.99,4/17/2025,Eliminate
Excessive Lighting,SUNVIE Low Voltage Landscape Lighting with Connectors 5W Anti-Glare LED Pathway Lights Wired Waterpr,$129.99,1,$129.99,4/17/2025,Eliminate
Excessive Lighting,SUNVIE LED Low Voltage Pathway Lights Wired 3000K Anti Glare Low Voltage Landscape Lighting Waterpro,$129.99,1,$129.99,3/10/2025,Eliminate
Excessive Lighting,SUNVIE 300W Low Voltage Landscape Transformer with 2 Independent Control Output Landscape Lighting T,$119.99,1,$119.99,4/14/2025,Eliminate
Excessive Lighting,SUNVIE 300W Low Voltage Landscape Transformer with 2 Independent Control Output Landscape Lighting T,$119.99,1,$119.99,4/14/2025,Eliminate
Excessive Lighting,SUNVIE 12W Low Voltage Landscape Lights with Connectors 1200LM Ultra Bright Well LED In Ground Water,$113.99,1,$113.99,3/10/2025,Eliminate
Excessive Lighting,"SUNVIE 100FT 12 Gauge Low Voltage Wire 12/2 Low Voltage Landscape Wire, 12 AWG 2 Conductor Electric ",$109.98,2,$54.99,4/17/2025,Eliminate
Excessive Lighting,SUNVIE 300W Low Voltage Landscape Transformer with 2 Independent Control Output Landscape Lighting T,$95.99,1,$95.99,3/10/2025,Eliminate
Excessive Lighting,SUNVIE 12 Pack Low Voltage Landscape Lighting 12W LED Outdoor In-Ground Waterproof Shielded Well Lig,$90.39,1,$90.39,5/2/2025,Eliminate
Excessive Lighting,SUNVIE 12 Pack Low Voltage Landscape Lighting 12W LED Outdoor In-Ground Waterproof Shielded Well Lig,$90.39,1,$90.39,4/29/2025,Eliminate
Excessive Lighting,"SUNVIE 60W Low Voltage Landscape Transformer with Timer and Photocell Sensor, 120V AC to 12V DC Land",$73.98,2,$36.99,6/11/2025,Eliminate
Excessive Lighting,"SUNVIE 100FT 12 Gauge Low Voltage Wire 12/2 Low Voltage Landscape Wire, 12 AWG 2 Conductor Electric ",$54.99,1,$54.99,4/30/2025,Eliminate
Excessive Lighting,SUNVIE Landscape Lighting Connectors Waterproof 12-16 Gauge Low Voltage Wire Connector for Landscape,$49.89,1,$49.89,3/10/2025,Eliminate
Excessive Lighting,"SUNVIE 60W Low Voltage Landscape Transformer with Timer and Photocell Sensor, 120V AC to 12V DC Land",$36.99,1,$36.99,5/24/2025,Eliminate
Excessive Lighting,"SUNVIE 60W Low Voltage Landscape Transformer with Timer and Photocell Sensor, 120V AC to 12V DC Land",$36.99,1,$36.99,4/30/2025,Eliminate
Excessive Lighting,"SUNVIE 60W Low Voltage Landscape Transformer with Timer and Photocell Sensor, 120V AC to 12V DC Land",$36.99,1,$36.99,4/29/2025,Eliminate
Excessive Lighting,SUNVIE Low Voltage Wire Connector Fastlock3 Landscape Lighting Connectors 12-20 Gauge Low Voltage Co,$34.99,1,$34.99,4/17/2025,Eliminate
Excessive Lighting,SUNVIE Low Voltage Wire Connector Fastlock3 Landscape Lighting Connectors 12-20 Gauge Low Voltage Co,$34.99,1,$34.99,3/21/2025,Eliminate
Questionable Medical,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front",$597.00,3,$199.00,10/9/2024,Find cheaper alternative
Questionable Medical,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front",$597.00,3,$199.00,10/9/2024,Find cheaper alternative
Questionable Medical,Veradek Block Series Span Plastic Planter - Tall Rectangular Planter for Indoor or Outdoor Patio/Por,$187.90,1,$187.90,2/1/2025,Find cheaper alternative
Questionable Medical,"RelaxCoo Cold Face Eye Mask Ice Pack Reduce Face Puff,Dark Circles,Gel Hot Cold Compress,Face SPA fo",$139.80,0,$0.00,5/14/2025,Find cheaper alternative
Questionable Medical,"Umbra Flip Wall-Mounted Coat Rack Rail Hook for Hats, Jackets, Bags and More - Modern, Space-Saving ",$91.20,3,$30.40,1/20/2025,Find cheaper alternative
Questionable Medical,"GeilSpace 6 Pack 3/4"" × 60"" Pre-Cut Black Metal Pipe, Industrial Steel Fits Standard Three Quarters ",$76.99,1,$76.99,10/3/2024,Find cheaper alternative
Questionable Medical,"GeilSpace 6 Pack 3/4"" × 36"" Pre-Cut Black Metal Pipe, Industrial Steel Fits Standard Three Quarters ",$41.99,1,$41.99,9/8/2024,Find cheaper alternative
Questionable Medical,3-Outle Flat Plugt 6-FT Shockproof Protection -Waterproof Power Strip with Surge Protector -Ultra Th,$31.52,2,$15.76,3/11/2025,Find cheaper alternative
Questionable Medical,"SEVEN SPARTA 4 Pack Roll Bar Grab Handles Compatible with Ford Bronco 2021 2022 2023 2024 2/4 Door, ",$24.59,1,$24.59,5/2/2025,Find cheaper alternative
Questionable Medical,"10Ft Extension Cord with USB Ports, JACKYLED Flat Plug Brown Power Strip Surge Protector 3 Widely Sp",$21.98,1,$21.98,6/3/2025,Find cheaper alternative
Questionable Medical,"Zodaca Womens Cowboy Hat - Cute, Fluffy, Sparkly Cowgirl Hat with Feathers for Halloween, Birthday, ",$17.99,1,$17.99,2/9/2025,Find cheaper alternative
Questionable Medical,"1000 Pcs Electrical Outlet Screws Spacers, Nylon Round Spacer for M3 M4 Screws, Black Spacers Withou",$15.99,1,$15.99,5/13/2025,Find cheaper alternative
Questionable Medical,"Bates- Paint Tray Set, 9-Inch, 12 pcs, Plastic Paint Tray with 10 Tray Liner, Textured Deep Capacity",$15.84,1,$15.84,1/20/2025,Find cheaper alternative
Questionable Medical,Honoson 7 Pieces Painting Knife Set Spatula Palette Knife Stainless Steel Painting Mixing Scraper Oi,$13.99,1,$13.99,2/1/2025,Find cheaper alternative
Questionable Medical,"GE 6-Outlet Extender, 2 Pack, Grounded Wall Tap, Adapter Spaced Outlets, 3-Prong, Multiple Plug, Qui",$12.70,1,$12.70,9/30/2024,Find cheaper alternative
Questionable Medical,"AZUREAL 600P Transparent Sticky Notes, 3x3 Inch Waterproof Clear Sticky Notes, Self-Adhesive Translu",$6.99,1,$6.99,4/24/2025,Find cheaper alternative
Questionable Medical,"6 Pack Putty Knife, Flexible Plastic Paint Scraper Tool for Spackling,Plastic Putty Knife, Putty Kni",$5.88,1,$5.88,9/17/2024,Find cheaper alternative
Questionable Medical,"Irwin Tools 88814 Speedbor Spade Wood Drill Bit 7/8"" X 6"", Pack of 1",$5.58,1,$5.58,9/21/2024,Find cheaper alternative
Premium Supplies,Zep Ammonia Free Glass Cleaner Concentrate - 1 Gallon (Case of 4) ZU1052128 - Professional Grade For,$41.64,1,$41.64,1/15/2025,Find cheaper alternative
Premium Supplies,Zep Ammonia Free Glass Cleaner Concentrate - 1 Gallon (Case of 4) ZU1052128 - Professional Grade For,$41.64,1,$41.64,1/15/2025,Find cheaper alternative
Premium Supplies,Zep Ammonia Free Glass Cleaner Concentrate - 1 Gallon (Case of 4) ZU1052128 - Professional Grade For,$41.64,1,$41.64,1/15/2025,Find cheaper alternative
Entertainment,"RENPHO Shiatsu Foot Massager [2025 Upgraded], FSA HSA eligible, Deep Kneading Foot Massager for Neur",$146.97,1,$146.97,4/13/2025,Eliminate
Entertainment,"GarveeLife Professional Outdoor Table Tennis Tables,6x3FT Indoor/Outdoor Portable Ping Pong Table Ga",$116.99,1,$116.99,5/26/2025,Eliminate
Entertainment,"HAPPYPOP Inspirational Gifts for Women - Gifts for Women Mom Wife, Mothers Day Birthday Christmas So",$69.93,7,$9.99,6/16/2025,Eliminate
Entertainment,"DiBanGu Mens Silk Paisley Dress Shirts,Long Sleeve Button Down Shirt Casual Regular Fit Shirt for Me",$37.99,1,$37.99,2/9/2025,Eliminate
