,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ALL Items Purchased ALL Locations,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Date Range: 06/09/2023 - 06/08/2024, 06/09/2024 - 06/08/2025",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Anand Ganger, 6/8/2025 10:46 AM",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Location Nickname,Billing Location Address,Billing Location Account Number,Shipped Location Nickname,Shipped Location Address,Shipped Location Account Number,Short Description,Extended Description,Item Code,Manufacturer,Uom,Previous Quantity,Current Quantity,Previous Amount,Current Amount,CategoryTree,Category,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Category Level 9,Category Level 10
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Aluminum Chloride Reagent 20% 4oz 1/Bt,Aluminum Chloride Reagent 20% 4oz 1/Bottle,3006116,"EDM3, LLC",BT,7,,144.94,,Laboratory > Chemical & Solution,Laboratory,Chemical & Solution,,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Aluminum Chloride Reagent 20% 8oz Ea,Aluminum Chloride Reagent 20% 8oz Each,1992408,"EDM3, LLC",EA,6,9,202.36,311.52,Laboratory > Chemical & Solution,Laboratory,Chemical & Solution,,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Potassium Hydroxide Reagent 10% 30mL With DMSO Ea,Potassium Hydroxide Reagent 10% 30mL With DMSO Each,1415420,"EDM3, LLC",EA,,1,,14.75,Laboratory > Chemical & Solution,Laboratory,Chemical & Solution,,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Trichloroacetic Acid 90% 4oz Ea,Trichloroacetic Acid 90% 4oz Each,1217274,"EDM3, LLC",EA,,1,,115.80,Laboratory > Chemical & Solution,Laboratory,Chemical & Solution,,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Acetone Reagent 16oz Ea,Acetone Reagent 16oz Each,3092688,"EDM3, LLC",EA,,4,,55.83,Laboratory > Cytology & Histology > Stains & Reagents,Laboratory,Cytology & Histology,Stains & Reagents,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Microscope Cover Glass 24x60mm #1 10/Bx,Microscope Cover Glass 24x60mm #1 1oz/Vacuum Pack 10/Box,4240039,Globe Scientific Inc.,BX,,1,,28.81,"Laboratory > Laboratory Supplies > Glass, Plasticware & Consumables > Microscope Cover Glass",Laboratory,Laboratory Supplies,"Glass, Plasticware & Consumables",Microscope Cover Glass,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Candin Candida Albicans Skin Test 1mL 1mL/Vl,Candin Candida Albicans Skin Test 1mL Vial 1mL/Vl,2590017,"Nielsen Biosciences, Inc.",VL,9,5,"3,390.73","2,053.45",Laboratory > Rapid Diagnostic Test Kit > Allergy,Laboratory,Rapid Diagnostic Test Kit,Allergy,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"American White Cross Adhesive Bandage Fabric 3/4x3"" Tan Sterile 100/Bx, 12 BX/CA","American White Cross Adhesive Bandage Fabric 3/4x3"" Tan Sterile 100/Box, 12 BX/CA",1271285,Dukal LLC,BX,103,107,284.85,267.27,Medical & Surgical Supplies > Bandages & Tapes > Adhesive Bandage,Medical & Surgical Supplies,Bandages & Tapes,Adhesive Bandage,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"American White Cross Adhesive Bandage Fabric 7/8x1-1/4"" Tan Sterile 100/Bx, 12 BX/CA","American White Cross Adhesive Bandage Fabric 7/8x1-1/4"" Tan Sterile 100/Box, 12 BX/CA",1271252,Dukal LLC,BX,40,45,135.42,152.55,Medical & Surgical Supplies > Bandages & Tapes > Adhesive Bandage,Medical & Surgical Supplies,Bandages & Tapes,Adhesive Bandage,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Mastisol Liquid Adhesive Adhesive EtOH/GUM Mstc/Storax/Mthyl Slcyt Clr 2oz,Mastisol Liquid Adhesive Adhesive Ethanol/Gum Mastic/Storax/Methyl Salicylate Clear 2oz,7289210,Ferndale Laboratories Inc,EA,2,1,71.78,35.89,Medical & Surgical Supplies > Bandages & Tapes > Adhesive Bandage,Medical & Surgical Supplies,Bandages & Tapes,Adhesive Bandage,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Coban Wrap Bandage Elastic 4""x5yd Tan Non-Sterile 18/CA","Coban Wrap Bandage Elastic 4""x5yd Tan Non-Sterile 18/Case",3136816,3M Medical Products,CA,2,2,65.10,94.32,Medical & Surgical Supplies > Bandages & Tapes > Self Adhering & Co-Adherent Bandage,Medical & Surgical Supplies,Bandages & Tapes,Self Adhering & Co-Adherent Bandage,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Blenderm Surgical Tape Plastic 1""x5yd Clear Non-Sterile 12/Bx, 10 BX/CA","Blenderm Surgical Tape Plastic 1""x5yd Clear Non-Sterile 12/Box, 10 BX/CA",7774795,3M Medical Products,BX,1,,9.21,,Medical & Surgical Supplies > Bandages & Tapes > Tape,Medical & Surgical Supplies,Bandages & Tapes,Tape,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Hypafix Retention Tape Fabric 2""x11yd White Non-Sterile Ea, 24 EA/CA","Hypafix Retention Tape Fabric 2""x11yd White Non-Sterile Each, 24 EA/CA",1279702,"BSN Medical, Inc",EA,18,,182.88,,Medical & Surgical Supplies > Bandages & Tapes > Tape,Medical & Surgical Supplies,Bandages & Tapes,Tape,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Surgical Tape Paper 1""x10yd White Non-Sterile 12/Bx, 12 BX/CA","Henry Schein Surgical Tape Paper 1""x10yd White Non-Sterile 12/Box, 12 BX/CA",1019673,Henry Schein Inc.,BX,5,2,35.95,14.38,Medical & Surgical Supplies > Bandages & Tapes > Tape,Medical & Surgical Supplies,Bandages & Tapes,Tape,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Cotton Tipped Applicator 6 in Wood Handle Non Sterile 1000/Bx, 10 BX/CA","HSI Cotton Tipped Applicator White Cotton Tip For Easy Application White Cotton Tip 6 in Wood Handle Non Sterile 1000/Box, 10 BX/CA",1009175,Henry Schein Inc.,BX,32,28,261.12,241.13,Medical & Surgical Supplies > Disposable Exam Room Products > Applicator,Medical & Surgical Supplies,Disposable Exam Room Products,Applicator,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"OB/GYN Swab 8 in Plastic Shaft Non-Sterile 100/Bx, 5 BX/CA","OB/GYN Swab Rayon Tip Rayon Tip 8 in Plastic Shaft Non-Sterile 100/Box, 5 BX/CA",6780248,Medline Industries Inc,BX,12,7,81.96,67.01,Medical & Surgical Supplies > Disposable Exam Room Products > Applicator,Medical & Surgical Supplies,Disposable Exam Room Products,Applicator,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Cotton Ball Sterile Medium 500/Bx, 8 BX/CA","HSI Cotton Ball High Absorbency Size Medium Latex Free Sterile 500/Box, 8 BX/CA",1004752,Henry Schein Inc.,BX,1,,9.08,,Medical & Surgical Supplies > Disposable Exam Room Products > Cotton Products & Dispenser,Medical & Surgical Supplies,Disposable Exam Room Products,Cotton Products & Dispenser,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Graduated Medicine Cup Plastic Clear 1 oz Disposable 100/Bg, 50 BG/CA","HSI Graduated Medicine Cup Disposable Clear Plastic For Pills or Liquid Medicines 1 oz 100/Bag, 50 BG/CA",1125555,Henry Schein Inc.,BG,7,6,10.15,8.86,"Medical & Surgical Supplies > Disposable Exam Room Products > Cup, Lid & Dispenser",Medical & Surgical Supplies,Disposable Exam Room Products,"Cup, Lid & Dispenser",,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Professional Towel 2 Ply Tissue / Poly 13 in x 18 in White Disposable 500/Ca,Professional Towel 2 Ply Tissue / Poly 13 in x 18 in Disposable 500/Case,1245008,Tidi Products LLC,CA,36,33,758.35,707.25,"Medical & Surgical Supplies > Disposable Exam Room Products > Patient Bib, Towel & Dispenser",Medical & Surgical Supplies,Disposable Exam Room Products,"Patient Bib, Towel & Dispenser",,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Exam Drape Sheet 40 in x 48 in White Tissue Disposable 100/Ca,Exam Drape Sheet Tissue 2 Ply 40 in x 48 in Non Sterile White Disposable 100/Case,1001797,Henry Schein Inc.,CA,45,44,877.41,892.92,"Medical & Surgical Supplies > Disposable Exam Room Products > Patient Exam Garment > Gowns, Drapes, Capes & Vests",Medical & Surgical Supplies,Disposable Exam Room Products,Patient Exam Garment,"Gowns, Drapes, Capes & Vests",,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Pillowcase 21 in x 30 in Tissue / Poly White Disposable 100/Ca,HSI Pillowcase Disposable 21 in x 30 in Tissue / Poly White 100/Case,1049206,Henry Schein Inc.,CA,13,7,339.62,183.40,Medical & Surgical Supplies > Disposable Exam Room Products > Pillow Cover & Case,Medical & Surgical Supplies,Disposable Exam Room Products,Pillow Cover & Case,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Pillowcase 21 in x 30 in Tissue / Poly White Disposable 100/Ca,Pillowcase Disposable 21 in x 30 in Tissue / Poly White 100/Case,1016311,Tidi Products LLC,CA,4,,109.44,,Medical & Surgical Supplies > Disposable Exam Room Products > Pillow Cover & Case,Medical & Surgical Supplies,Disposable Exam Room Products,Pillow Cover & Case,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Exam Table Paper Smooth 18 in x 225 Feet 12/Ca,HSI Exam Table Paper Smooth White Disposable 18 in x 225 Feet Standard Roll 12/Case,1009491,Henry Schein Inc.,CA,43,47,"1,498.55","1,714.51",Medical & Surgical Supplies > Disposable Exam Room Products > Table Paper,Medical & Surgical Supplies,Disposable Exam Room Products,Table Paper,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,Exam Table Paper Smooth 21 in x 225 Feet 12/Ca,HSI Exam Table Paper Smooth White Not Made With Natural Rubber Latex Disposable 21 in x 225 Feet 12/Case,9004979,Henry Schein Inc.,CA,2,,89.12,,Medical & Surgical Supplies > Disposable Exam Room Products > Table Paper,Medical & Surgical Supplies,Disposable Exam Room Products,Table Paper,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Angel Soft PS Facial Tissue White 2 Ply 100/Bx, 30 BX/CA","Angel Soft PS Facial Tissue White 2 Ply Flat Box 100/Box, 30 BX/CA",6430062,Georgia Pacific Corp,BX,,3,,5.27,Medical & Surgical Supplies > Disposable Exam Room Products > Tissue Products & Dispenser,Medical & Surgical Supplies,Disposable Exam Room Products,Tissue Products & Dispenser,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Angel Soft PS Facial Tissue White 2 Ply 100/Bx, 30 BX/CA","Angel Soft PS Facial Tissue White 2 Ply Flat Box 100/Box, 30 BX/CA",6430062,Georgia Pacific Corp,CA,5,4,135.00,211.80,Medical & Surgical Supplies > Disposable Exam Room Products > Tissue Products & Dispenser,Medical & Surgical Supplies,Disposable Exam Room Products,Tissue Products & Dispenser,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Tongue Depressor 6"" Wood Non-Sterile Adult 500/Bx, 10 BX/CA","Tongue Depressor Wood 6"" Regular Non-Sterile Adult 500/Box, 10 BX/CA",2670035,Dynarex Corporation,BX,1,4,7.95,31.80,Medical & Surgical Supplies > Disposable Exam Room Products > Tongue Depressor,Medical & Surgical Supplies,Disposable Exam Room Products,Tongue Depressor,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Tongue Depressor 6"" Wood Non-Sterile Adult 500/Bx, 10 BX/CA","Tongue Depressor Wood 6"" Regular Non-Sterile Adult 500/Box, 10 BX/CA",2670035,Dynarex Corporation,CA,1,,79.50,,Medical & Surgical Supplies > Disposable Exam Room Products > Tongue Depressor,Medical & Surgical Supplies,Disposable Exam Room Products,Tongue Depressor,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118537,Henry Schein Inc.,BX,20,1,108.60,5.40,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Large Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118537,Henry Schein Inc.,CA,5,20,271.50,"1,084.80",Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118536,Henry Schein Inc.,BX,42,1,227.30,5.40,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Medium Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118536,Henry Schein Inc.,CA,68,58,"3,692.40","3,133.10",Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118535,Henry Schein Inc.,BX,12,1,64.40,5.40,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile, 10 BX/CA","Criterion N100 Nitrile Exam Gloves Small Standard Blue Non-Sterile Chemo Tested, 10 BX/CA",1118535,Henry Schein Inc.,CA,27,16,"1,466.10",860.20,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,KC5 Purple Nitrile Nitrile Exam Gloves Large Purple Sterile,KC5 Purple Nitrile Nitrile Exam Gloves Large Purple Sterile,1076003,O & M Halyard,BX,2,1,84.52,42.47,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"KC5 Purple Nitrile Nitrile Exam Gloves Medium Purple Sterile, 4 BX/CA","KC5 Purple Nitrile Nitrile Exam Gloves Medium Purple Sterile, 4 BX/CA",1079978,O & M Halyard,BX,3,7,207.21,389.14,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"KC5 Purple Nitrile Nitrile Exam Gloves Small Purple Sterile, 4 BX/CA","KC5 Purple Nitrile Nitrile Exam Gloves Small Purple Sterile Chemo Tested, 4 BX/CA",1074222,O & M Halyard,BX,1,4,52.69,193.76,Medical & Surgical Supplies > Gloves > Exam,Medical & Surgical Supplies,Gloves,Exam,,,,,,,
Ganger Dermatology,"1979 Huron Pkwy , Ann Arbor, MI, 481044141",2784935,GD Ann Arbor,"1979 Huron Pkwy Laura Ganger, Ann Arbor, MI, 481044141",2918421,"GAMMEX Non-Latex Neoprene Surgical Gloves 6.5 Standard Green, 4 BX/CA","GAMMEX Non-Latex Neoprene Surgical Gloves 6.5 Standard Green Chemo Rated, 4 BX/CA",6850153,Ansell Healthcare Products,BX,5,4,683.19,496.46,Medical & Surgical Supplies > Gloves > Surgical,Medical & Surgical Supplies,Gloves,Surgical,,,,,,,
